EarthPod Sensor Log
Created: Thu Jul 16 01:17:27 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Wed Sep 16 19:22:22 2020,6.211,36.439,33.57,7260.16,96.969546875,0,0.0,0.505,41.54,0
Wed Sep 16 19:22:29 2020,6.205,36.427,29.879,7170.56,96.966765625,0,0.0,0.515,41.75,0
Wed Sep 16 19:22:36 2020,6.206,36.444,27.284,7278.08,96.9679375,0,0.0,0.376,41.81,0
Wed Sep 16 19:22:43 2020,6.211,36.462,26.315,7319.04,96.965382812,0,0.0,0.503,41.58,0
Wed Sep 16 19:22:50 2020,6.208,36.465,26.954,7326.72,96.969007812,0,0.0,0.233,46.51,0
Wed Sep 16 19:22:57 2020,6.209,36.538,27.093,7349.76,96.968652343,0,0.0,0.317,45.17,0
Wed Sep 16 19:23:04 2020,6.212,36.505,24.391,7365.12,96.966417968,0,0.0,0.393,41.94,0
Wed Sep 16 19:23:11 2020,6.208,36.573,26.098,7390.72,96.969460937,0,0.0,0.31,45.24,0
Wed Sep 16 19:23:18 2020,6.206,36.58,26.792,7439.36,96.965933593,0,0.0,0.337,44.86,0
Wed Sep 16 19:23:25 2020,6.208,36.578,29.345,7457.28,96.968292968,0,0.0,0.226,47.99,0
Wed Sep 16 19:23:32 2020,6.205,36.585,30.543,7498.24,96.969023437,0,0.0,0.169,50.5,0
Wed Sep 16 19:23:39 2020,6.206,36.689,31.115,7580.16,96.972183593,0,0.0,0.158,51.31,0
Wed Sep 16 19:23:46 2020,6.21,36.857,24.943,7569.92,96.967800781,0,0.0,0.618,43.74,0
Wed Sep 16 19:23:53 2020,6.206,36.966,23.925,7557.12,96.963292968,0,0.0,0.351,44.95,0
Wed Sep 16 19:24:00 2020,6.207,37.099,23.451,7546.88,96.964402343,0,0.0,0.265,47.84,0
Wed Sep 16 19:24:07 2020,6.208,37.132,23.339,7552.0,96.963503906,0,0.0,0.362,44.85,0
Wed Sep 16 19:24:14 2020,6.207,37.275,23.356,7536.64,96.96315625,0,0.0,0.467,43.53,0
