EarthPod Sensor Log
Created: Thu Jul 16 01:17:27 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Wed Sep 16 21:48:58 2020,6.209,42.477,17.155,7552.0,96.761894531,0,0.0,0.43,48.27,0
Wed Sep 16 21:49:05 2020,6.211,42.489,16.912,7552.0,96.763554687,0,0.0,0.209,53.45,0
Wed Sep 16 21:49:12 2020,6.209,42.517,16.575,7544.32,96.7638125,0,0.0,0.351,49.26,0
Wed Sep 16 21:49:19 2020,6.207,42.525,16.793,7541.76,96.764554687,0,0.0,0.198,54.27,0
Wed Sep 16 21:49:26 2020,6.212,42.583,16.975,7549.44,96.765207031,0,0.0,0.227,53.88,0
Wed Sep 16 21:49:33 2020,6.207,42.736,17.977,7549.44,96.765261718,0,0.0,0.17,55.79,0
Wed Sep 16 21:49:40 2020,6.208,42.809,17.021,7544.32,96.762976562,0,0.0,0.42,47.63,0
Wed Sep 16 21:49:47 2020,6.209,42.862,16.445,7546.88,96.764992187,0,0.0,0.278,50.81,0
Wed Sep 16 21:49:54 2020,6.206,42.804,17.448,7534.08,96.764148437,0,0.0,0.252,52.66,0
Wed Sep 16 21:50:01 2020,6.209,42.922,17.538,7526.4,96.764566406,0,0.0,0.344,50.21,0
Wed Sep 16 21:50:08 2020,6.209,43.021,16.905,7521.28,96.763328125,0,0.0,0.387,48.11,0
Wed Sep 16 21:50:15 2020,6.207,43.089,17.462,7523.84,96.763128906,0,0.0,0.382,48.35,0
Wed Sep 16 21:50:22 2020,6.206,43.131,15.763,7523.84,96.763253906,0,0.0,0.413,47.9,0
Wed Sep 16 21:50:29 2020,6.211,43.169,16.067,7521.28,96.761628906,0,0.0,0.504,47.44,0
Wed Sep 16 21:50:36 2020,6.206,43.167,16.957,7518.72,96.763792968,0,0.0,0.243,52.44,0
Wed Sep 16 21:50:44 2020,6.209,43.189,16.885,7531.52,96.76628125,0,0.0,0.242,52.75,0
Wed Sep 16 21:50:51 2020,6.21,43.207,16.923,7539.2,96.764835937,0,0.0,0.18,54.47,0
Wed Sep 16 21:50:58 2020,6.207,43.149,15.789,7526.4,96.765414062,0,0.0,0.281,51.41,0
Wed Sep 16 21:51:05 2020,6.206,43.212,16.496,7523.84,96.764710937,0,0.0,0.171,55.2,0
Wed Sep 16 21:51:12 2020,6.207,43.255,18.579,7518.72,96.762800781,0,0.0,0.193,54.79,0
Wed Sep 16 21:51:19 2020,6.206,43.056,19.386,7503.36,96.762921875,0,0.0,0.39,48.8,0
Wed Sep 16 21:51:26 2020,6.208,42.907,17.352,7500.8,96.763464843,0,0.0,0.139,55.75,0
Wed Sep 16 21:51:33 2020,6.208,42.985,18.15,7500.8,96.765066406,0,0.0,0.261,52.81,0
Wed Sep 16 21:51:40 2020,6.206,43.033,18.38,7508.48,96.765613281,0,0.0,0.171,55.08,0
Wed Sep 16 21:51:47 2020,6.206,43.192,19.215,7505.92,96.763644531,0,0.0,0.297,51.98,0
Wed Sep 16 21:51:54 2020,6.212,43.235,19.54,7523.84,96.766371093,0,0.0,0.273,52.07,0
Wed Sep 16 21:52:01 2020,6.207,43.303,18.586,7539.2,96.764167968,0,0.0,0.361,49.88,0
Wed Sep 16 21:52:08 2020,6.206,43.366,16.918,7544.32,96.761214843,0,0.0,0.609,46.27,0
Wed Sep 16 21:52:15 2020,6.21,43.454,17.247,7554.56,96.760609375,0,0.0,0.6,45.98,0
Wed Sep 16 21:52:22 2020,6.206,43.456,17.395,7536.64,96.76121875,0,0.0,0.818,45.95,0
Wed Sep 16 21:52:29 2020,6.206,43.423,22.084,7528.96,96.763667968,0,0.0,0.56,45.56,0
Wed Sep 16 21:52:36 2020,6.206,43.345,20.355,7536.64,96.763652343,0,0.0,0.304,50.68,0
Wed Sep 16 21:52:43 2020,6.21,43.328,17.536,7531.52,96.76340625,0,0.0,0.544,47.05,0
Wed Sep 16 21:52:50 2020,6.208,43.391,17.312,7549.44,96.764679687,0,0.0,0.838,44.25,0
Wed Sep 16 21:52:57 2020,6.209,43.429,17.594,7546.88,96.762160156,0,0.0,0.604,44.77,0
Wed Sep 16 21:53:04 2020,6.21,43.461,17.034,7544.32,96.765019531,0,0.0,0.67,45.28,0
Wed Sep 16 21:53:11 2020,6.209,43.393,16.694,7546.88,96.763546875,0,0.0,0.661,46.01,0
Wed Sep 16 21:53:18 2020,6.208,43.305,15.997,7526.4,96.762535156,0,0.0,0.467,46.17,0
Wed Sep 16 21:53:25 2020,6.209,43.272,16.902,7513.6,96.762683593,0,0.0,0.431,46.37,0
Wed Sep 16 21:53:32 2020,6.21,43.23,16.769,7523.84,96.760132812,0,0.0,0.34,47.16,0
Wed Sep 16 21:53:39 2020,6.207,43.126,16.664,7539.2,96.760628906,0,0.0,0.294,49.49,0
Wed Sep 16 21:53:46 2020,6.208,43.058,15.185,7546.88,96.760492187,0,0.0,0.285,49.75,0
Wed Sep 16 21:53:54 2020,6.209,43.011,16.358,7552.0,96.759109375,0,0.0,0.231,51.48,0
Wed Sep 16 21:54:01 2020,6.208,43.003,16.989,7582.72,96.762050781,0,0.0,0.282,50.07,0
Wed Sep 16 21:54:08 2020,6.208,42.92,17.338,7608.32,96.761371093,0,0.0,0.192,52.85,0
Wed Sep 16 21:54:15 2020,6.208,42.958,17.303,7628.8,96.75990625,0,0.0,0.228,52.29,0
Wed Sep 16 21:54:22 2020,6.212,43.026,15.873,7621.12,96.760410156,0,0.0,0.373,47.59,0
Wed Sep 16 21:54:29 2020,6.207,43.003,15.451,7623.68,96.759023437,0,0.0,0.231,52.15,0
Wed Sep 16 21:54:36 2020,6.206,43.026,15.757,7682.56,96.760101562,0,0.0,0.223,52.63,0
Wed Sep 16 21:54:43 2020,6.207,43.003,15.722,7715.84,96.760035156,0,0.0,0.283,50.55,0
Wed Sep 16 21:54:50 2020,6.209,42.92,14.671,7738.88,96.756621093,0,0.0,0.189,53.48,0
Wed Sep 16 21:54:57 2020,6.208,42.973,15.502,7751.68,96.756,0,0.0,0.156,55.33,0
Wed Sep 16 21:55:04 2020,6.21,43.016,16.38,7772.16,96.75871875,0,0.0,0.154,55.69,0
Wed Sep 16 21:55:11 2020,6.209,43.018,17.013,7810.56,96.759230468,0,0.0,0.157,55.93,0
Wed Sep 16 21:55:18 2020,6.208,42.95,18.58,7836.16,96.759367187,0,0.0,0.363,49.54,0
Wed Sep 16 21:55:25 2020,6.208,42.781,18.6,7861.76,96.759304687,0,0.0,0.159,55.59,0
Wed Sep 16 21:55:32 2020,6.208,42.769,18.421,7915.52,96.759820312,0,0.0,0.163,56.07,0
Wed Sep 16 21:55:39 2020,6.209,42.746,21.197,7930.88,96.760039062,0,0.0,0.203,54.93,0
Wed Sep 16 21:55:46 2020,6.209,42.673,20.826,7946.24,96.761265625,0,0.0,0.339,50.96,0
Wed Sep 16 21:55:53 2020,6.208,42.635,17.901,7976.96,96.758542968,0,0.0,0.571,46.45,0
Wed Sep 16 21:56:00 2020,6.209,42.663,18.406,8000.0,96.759261718,0,0.0,0.516,46.01,0
Wed Sep 16 21:56:07 2020,6.21,42.736,19.482,7820.8,96.760472656,0,0.0,0.28,51.57,0
Wed Sep 16 21:56:14 2020,6.207,42.915,18.342,7889.92,96.759277343,0,0.0,0.253,52.72,0
Wed Sep 16 21:56:21 2020,6.209,43.003,17.724,8007.68,96.757011718,0,0.0,0.372,49.05,0
Wed Sep 16 21:56:28 2020,6.208,42.995,17.073,8035.84,96.758109375,0,0.0,0.295,51.55,0
Wed Sep 16 21:56:35 2020,6.209,43.069,16.491,8012.8,96.75865625,0,0.0,0.179,54.69,0
Wed Sep 16 21:56:42 2020,6.209,43.217,17.811,8227.84,96.761050781,0,0.0,0.336,49.88,0
Wed Sep 16 21:56:49 2020,6.209,43.129,17.617,8235.52,96.758984375,0,0.0,0.193,54.01,0
Wed Sep 16 21:56:56 2020,6.207,43.116,18.678,8102.4,96.758085937,0,0.0,0.245,52.54,0
Wed Sep 16 21:57:04 2020,6.21,42.988,20.446,7918.08,96.758730468,0,0.0,0.415,47.13,0
Wed Sep 16 21:57:11 2020,6.211,42.578,19.215,7925.76,96.758191406,0,0.0,0.445,48.33,0
Wed Sep 16 21:57:18 2020,6.207,42.625,18.447,7959.04,96.756507812,0,0.0,0.15,54.65,0
Wed Sep 16 21:57:25 2020,6.205,42.734,17.903,7892.48,96.758199218,0,0.0,0.245,53.2,0
Wed Sep 16 21:57:32 2020,6.21,42.922,18.194,8381.44,96.756816406,0,0.0,0.536,47.67,0
Wed Sep 16 21:57:39 2020,6.208,42.88,16.728,8309.76,96.758503906,0,0.0,0.351,47.95,0
Wed Sep 16 21:57:46 2020,6.209,42.958,17.752,8012.8,96.756601562,0,0.0,0.165,55.35,0
Wed Sep 16 21:57:53 2020,6.207,43.056,17.539,8084.48,96.758722656,0,0.0,0.192,55.17,0
Wed Sep 16 21:58:00 2020,6.207,43.084,18.499,8046.08,96.758695312,0,0.0,0.37,50.0,0
Wed Sep 16 21:58:07 2020,6.208,42.663,17.451,8010.24,96.759152343,0,0.0,0.496,47.94,0
Wed Sep 16 21:58:14 2020,6.208,42.434,16.961,8348.16,96.757292968,0,0.0,0.569,47.71,0
Wed Sep 16 21:58:21 2020,6.207,42.024,17.298,8384.0,96.752863281,0,0.0,0.26,51.89,0
Wed Sep 16 21:58:28 2020,6.208,42.031,18.203,8302.08,96.756125,0,0.0,0.298,51.5,0
Wed Sep 16 21:58:35 2020,6.21,42.044,17.713,8135.68,96.757910156,0,0.0,0.239,53.51,0
Wed Sep 16 21:58:42 2020,6.208,41.936,19.189,8271.36,96.756121093,0,0.0,0.192,55.14,0
Wed Sep 16 21:58:49 2020,6.207,41.928,19.331,8330.24,96.757714843,0,0.0,0.186,55.48,0
Wed Sep 16 21:58:56 2020,6.21,42.021,19.525,8399.36,96.758386718,0,0.0,0.171,56.15,0
Wed Sep 16 21:59:03 2020,6.207,42.064,19.09,8337.92,96.756480468,0,0.0,0.174,56.33,0
Wed Sep 16 21:59:10 2020,6.207,42.223,19.818,8337.92,96.756515625,0,0.0,0.289,52.84,0
Wed Sep 16 21:59:17 2020,6.211,42.396,19.258,8245.76,96.758230468,0,0.0,0.546,48.14,0
Wed Sep 16 21:59:24 2020,6.205,42.459,18.182,8186.88,96.753195312,0,0.0,0.689,46.88,0
Wed Sep 16 21:59:31 2020,6.209,42.507,16.505,8268.8,96.75534375,0,0.0,0.731,46.51,0
Wed Sep 16 21:59:38 2020,6.21,42.479,16.69,8250.88,96.752777343,0,0.0,0.627,46.22,0
Wed Sep 16 21:59:45 2020,6.209,42.527,16.481,8107.52,96.751105468,0,0.0,0.731,45.58,0
Wed Sep 16 21:59:52 2020,6.209,42.474,16.955,8007.68,96.754957031,0,0.0,0.437,46.06,0
Wed Sep 16 21:59:59 2020,6.209,42.467,16.557,7984.64,96.754355468,0,0.0,0.509,45.26,0
Wed Sep 16 22:00:06 2020,6.209,42.515,16.256,8079.36,96.757480468,0,0.0,0.303,48.99,0
Wed Sep 16 22:00:14 2020,6.206,42.467,16.325,8030.72,96.754148437,0,0.0,0.348,47.47,0
Wed Sep 16 22:00:21 2020,6.205,42.439,16.311,8007.68,96.749515625,0,0.0,0.452,46.51,0
Wed Sep 16 22:00:28 2020,6.206,42.467,17.042,7992.32,96.753121093,0,0.0,0.252,51.02,0
Wed Sep 16 22:00:35 2020,6.208,42.6,17.333,7979.52,96.753761718,0,0.0,0.294,50.16,0
Wed Sep 16 22:00:42 2020,6.207,42.698,16.719,7961.6,96.751574218,0,0.0,0.302,48.87,0
Wed Sep 16 22:00:49 2020,6.207,42.797,17.407,7920.64,96.7525,0,0.0,0.337,48.74,0
Wed Sep 16 22:00:56 2020,6.207,42.794,16.221,7902.72,96.749726562,0,0.0,0.31,49.28,0
Wed Sep 16 22:01:03 2020,6.211,42.731,16.961,7889.92,96.7486875,0,0.0,0.564,46.12,0
Wed Sep 16 22:01:10 2020,6.204,42.708,17.192,7884.8,96.750730468,0,0.0,0.324,48.32,0
Wed Sep 16 22:01:17 2020,6.206,42.721,15.768,7877.12,96.747875,0,0.0,0.373,47.2,0
Wed Sep 16 22:01:24 2020,6.208,42.829,16.371,7859.2,96.749003906,0,0.0,0.33,48.7,0
Wed Sep 16 22:01:31 2020,6.205,42.862,16.757,7854.08,96.748792968,0,0.0,0.359,47.58,0
Wed Sep 16 22:01:38 2020,6.206,42.93,16.651,7846.4,96.749089843,0,0.0,0.188,52.69,0
Wed Sep 16 22:01:45 2020,6.208,42.948,16.25,7854.08,96.748441406,0,0.0,0.252,51.42,0
Wed Sep 16 22:01:52 2020,6.208,42.95,21.183,7861.76,96.750304687,0,0.0,0.154,54.02,0
Wed Sep 16 22:01:59 2020,6.208,42.983,20.91,7877.12,96.753539062,0,0.0,0.188,53.82,0
Wed Sep 16 22:02:06 2020,6.208,43.006,22.471,8002.56,96.751914062,0,0.0,0.165,54.01,0
Wed Sep 16 22:02:13 2020,6.206,43.048,23.025,7872.0,96.752601562,0,0.0,0.147,55.13,0
Wed Sep 16 22:02:20 2020,6.209,43.116,22.636,7928.32,96.751402343,0,0.0,0.159,55.23,0
Wed Sep 16 22:02:27 2020,6.209,42.988,20.223,7943.68,96.749421875,0,0.0,0.391,48.65,0
Wed Sep 16 22:02:34 2020,6.207,42.708,17.848,7953.92,96.747128906,0,0.0,0.315,50.21,0
Wed Sep 16 22:02:41 2020,6.208,42.5,17.669,7943.68,96.74746875,0,0.0,0.343,49.64,0
Wed Sep 16 22:02:48 2020,6.211,42.265,19.554,7976.96,96.745914062,0,0.0,0.325,50.26,0
Wed Sep 16 22:02:55 2020,6.208,42.122,19.409,7946.24,96.745457031,0,0.0,0.368,48.43,0
Wed Sep 16 22:03:02 2020,6.205,41.998,17.839,7992.32,96.746832031,0,0.0,0.405,47.93,0
Wed Sep 16 22:03:09 2020,6.209,41.946,18.71,7943.68,96.745707031,0,0.0,0.274,51.6,0
Wed Sep 16 22:03:16 2020,6.208,41.767,17.494,7987.2,96.744824218,0,0.0,0.353,49.11,0
Wed Sep 16 22:03:23 2020,6.21,41.664,18.276,7971.84,96.742078125,0,0.0,0.513,47.22,0
Wed Sep 16 22:03:31 2020,6.211,41.53,17.295,7984.64,96.741570312,0,0.0,0.462,47.03,0
Wed Sep 16 22:03:38 2020,6.206,41.538,17.834,7951.36,96.742601562,0,0.0,0.537,47.38,0
Wed Sep 16 22:03:45 2020,6.206,41.581,17.112,7920.64,96.741785156,0,0.0,0.314,50.66,0
Wed Sep 16 22:03:52 2020,6.211,41.487,17.776,7910.4,96.740664062,0,0.0,0.307,50.2,0
Wed Sep 16 22:03:59 2020,6.211,41.555,16.755,7889.92,96.739730468,0,0.0,0.396,48.63,0
Wed Sep 16 22:04:06 2020,6.205,41.482,16.07,7877.12,96.740796875,0,0.0,0.266,52.27,0
Wed Sep 16 22:04:13 2020,6.208,41.45,16.429,7864.32,96.74,0,0.0,0.34,50.38,0
Wed Sep 16 22:04:20 2020,6.206,41.427,16.897,7856.64,96.739246093,0,0.0,0.244,53.39,0
Wed Sep 16 22:04:27 2020,6.207,41.414,15.385,7841.28,96.739105468,0,0.0,0.236,53.38,0
Wed Sep 16 22:04:34 2020,6.209,41.437,17.407,7828.48,96.737484375,0,0.0,0.315,51.3,0
Wed Sep 16 22:04:41 2020,6.209,41.47,16.404,7825.92,96.736445312,0,0.0,0.209,54.88,0
Wed Sep 16 22:04:48 2020,6.206,41.502,15.744,7828.48,96.7383125,0,0.0,0.375,49.79,0
Wed Sep 16 22:04:55 2020,6.208,41.424,20.753,7841.28,96.738875,0,0.0,0.582,48.08,0
Wed Sep 16 22:05:02 2020,6.207,41.417,22.506,7864.32,96.7376875,0,0.0,0.74,46.24,0
Wed Sep 16 22:05:09 2020,6.206,41.409,17.704,7848.96,96.736578125,0,0.0,0.546,46.43,0
Wed Sep 16 22:05:16 2020,6.208,41.412,19.573,7833.6,96.735707031,0,0.0,0.419,46.82,0
Wed Sep 16 22:05:23 2020,6.21,41.435,18.348,7828.48,96.737308593,0,0.0,0.293,51.16,0
Wed Sep 16 22:05:30 2020,6.208,41.492,19.345,7805.44,96.734882812,0,0.0,0.232,53.92,0
Wed Sep 16 22:05:37 2020,6.208,41.55,18.687,7820.8,96.737582031,0,0.0,0.359,50.1,0
Wed Sep 16 22:05:44 2020,6.206,41.492,17.672,7802.88,96.735945312,0,0.0,0.404,47.41,0
Wed Sep 16 22:05:51 2020,6.209,41.545,17.436,7795.2,96.735324218,0,0.0,0.304,50.12,0
Wed Sep 16 22:05:58 2020,6.211,41.704,18.707,7802.88,96.736261718,0,0.0,0.274,51.74,0
Wed Sep 16 22:06:05 2020,6.21,41.893,18.092,7810.56,96.736207031,0,0.0,0.352,50.33,0
Wed Sep 16 22:06:12 2020,6.208,42.016,17.37,7800.32,96.736101562,0,0.0,0.383,47.85,0
Wed Sep 16 22:06:19 2020,6.208,42.119,17.866,7800.32,96.735535156,0,0.0,0.261,51.89,0
Wed Sep 16 22:06:26 2020,6.209,42.061,17.227,7779.84,96.737128906,0,0.0,0.4,48.59,0
Wed Sep 16 22:06:33 2020,6.206,41.958,17.707,7746.56,96.733285156,0,0.0,0.662,46.04,0
Wed Sep 16 22:06:41 2020,6.208,41.86,18.371,7777.28,96.735964843,0,0.0,0.407,46.84,0
Wed Sep 16 22:06:48 2020,6.206,41.792,17.314,7787.52,96.734214843,0,0.0,0.255,52.5,0
Wed Sep 16 22:06:55 2020,6.209,41.724,17.614,7590.4,96.734535156,0,0.0,0.273,52.16,0
Wed Sep 16 22:07:02 2020,6.209,41.651,18.269,7756.8,96.735085937,0,0.0,0.314,50.96,0
Wed Sep 16 22:07:09 2020,6.207,41.623,17.742,7749.12,96.736105468,0,0.0,0.349,49.69,0
Wed Sep 16 22:07:16 2020,6.207,41.46,17.012,7738.88,96.735652343,0,0.0,0.29,51.17,0
Wed Sep 16 22:07:23 2020,6.209,41.392,18.853,7708.16,96.732898437,0,0.0,0.416,48.14,0
Wed Sep 16 22:07:30 2020,6.208,41.258,18.379,7697.92,96.733433593,0,0.0,0.303,51.13,0
Wed Sep 16 22:07:37 2020,6.208,41.306,18.984,7659.52,96.73309375,0,0.0,0.329,50.17,0
Wed Sep 16 22:07:44 2020,6.21,41.294,19.566,7662.08,96.733828125,0,0.0,0.485,46.49,0
Wed Sep 16 22:07:51 2020,6.207,41.492,16.717,7672.32,96.734625,0,0.0,0.61,45.78,0
Wed Sep 16 22:07:58 2020,6.209,41.51,16.716,7669.76,96.731832031,0,0.0,0.335,48.57,0
Wed Sep 16 22:08:05 2020,6.21,41.553,19.808,7659.52,96.733238281,0,0.0,0.278,51.52,0
Wed Sep 16 22:08:12 2020,6.206,41.475,20.597,7654.4,96.734492187,0,0.0,0.196,54.16,0
Wed Sep 16 22:08:19 2020,6.208,41.477,20.526,7649.28,96.733375,0,0.0,0.213,54.05,0
Wed Sep 16 22:08:26 2020,6.21,41.45,19.947,7621.12,96.730460937,0,0.0,0.198,54.58,0
Wed Sep 16 22:08:33 2020,6.205,41.422,19.433,7598.08,96.733042968,0,0.0,0.191,55.06,0
Wed Sep 16 22:08:40 2020,6.209,41.419,20.719,7603.2,96.733199218,0,0.0,0.329,51.06,0
Wed Sep 16 22:08:47 2020,6.207,41.523,20.281,7590.4,96.734101562,0,0.0,0.204,54.0,0
Wed Sep 16 22:08:54 2020,6.207,41.55,23.518,7562.24,96.73703125,0,0.0,0.344,50.6,0
Wed Sep 16 22:09:01 2020,6.208,41.417,20.413,7528.96,96.739988281,0,0.0,0.67,46.73,0
Wed Sep 16 22:09:08 2020,6.209,41.208,18.449,7531.52,96.738996093,0,0.0,0.696,46.96,0
Wed Sep 16 22:09:15 2020,6.208,41.195,18.74,7516.16,96.736933593,0,0.0,0.821,46.05,0
Wed Sep 16 22:09:22 2020,6.208,41.112,17.674,7521.28,96.735941406,0,0.0,0.77,44.9,0
Wed Sep 16 22:09:29 2020,6.211,41.185,18.679,7477.76,96.734921875,0,0.0,0.636,45.8,0
Wed Sep 16 22:09:36 2020,6.206,41.132,17.146,7472.64,96.732460937,0,0.0,0.819,44.8,0
Wed Sep 16 22:09:43 2020,6.207,41.115,15.814,7472.64,96.733707031,0,0.0,0.901,44.21,0
Wed Sep 16 22:09:50 2020,6.209,41.168,16.819,7470.08,96.7299375,0,0.0,0.711,44.96,0
Wed Sep 16 22:09:58 2020,6.208,41.12,16.796,7459.84,96.731382812,0,0.0,0.467,45.34,0
Wed Sep 16 22:10:05 2020,6.208,41.137,16.792,7444.48,96.731710937,0,0.0,0.402,46.64,0
Wed Sep 16 22:10:12 2020,6.209,41.08,16.5,7434.24,96.73225,0,0.0,0.321,49.88,0
Wed Sep 16 22:10:19 2020,6.205,41.102,16.844,7436.8,96.731085937,0,0.0,0.174,54.79,0
Wed Sep 16 22:10:26 2020,6.208,41.175,17.279,7439.36,96.730339843,0,0.0,0.255,52.74,0
Wed Sep 16 22:10:33 2020,6.21,41.243,17.076,7436.8,96.7294375,0,0.0,0.224,53.95,0
Wed Sep 16 22:10:40 2020,6.207,41.17,16.732,7421.44,96.727835937,0,0.0,0.189,55.03,0
Wed Sep 16 22:10:47 2020,6.207,41.233,18.302,7416.32,96.733085937,0,0.0,0.189,55.26,0
Wed Sep 16 22:10:54 2020,6.209,41.271,17.501,7418.88,96.733121093,0,0.0,0.188,55.45,0
Wed Sep 16 22:11:01 2020,6.207,41.299,17.561,7421.44,96.733125,0,0.0,0.182,55.65,0
Wed Sep 16 22:11:08 2020,6.208,41.321,17.733,7429.12,96.731890625,0,0.0,0.211,54.83,0
Wed Sep 16 22:11:15 2020,6.212,41.414,17.536,7444.48,96.731425781,0,0.0,0.199,55.09,0
Wed Sep 16 22:11:22 2020,6.21,41.508,17.489,7439.36,96.728019531,0,0.0,0.18,55.98,0
Wed Sep 16 22:11:29 2020,6.208,41.55,18.208,7431.68,96.726371093,0,0.0,0.358,50.76,0
Wed Sep 16 22:11:36 2020,6.209,41.643,18.054,7426.56,96.727652343,0,0.0,0.162,56.51,0
Wed Sep 16 22:11:43 2020,6.207,41.777,18.586,7429.12,96.72696875,0,0.0,0.177,56.48,0
Wed Sep 16 22:11:50 2020,6.205,41.875,18.38,7424.0,96.725179687,0,0.0,0.234,54.62,0
Wed Sep 16 22:11:57 2020,6.21,41.883,18.8,7429.12,96.729046875,0,0.0,0.215,54.82,0
Wed Sep 16 22:12:04 2020,6.208,41.88,20.874,7424.0,96.727625,0,0.0,0.412,49.26,0
Wed Sep 16 22:12:11 2020,6.209,41.827,20.915,7426.56,96.725964843,0,0.0,0.195,55.76,0
Wed Sep 16 22:12:18 2020,6.209,41.855,20.382,7429.12,96.727730468,0,0.0,0.239,54.69,0
Wed Sep 16 22:12:25 2020,6.208,42.049,18.708,7424.0,96.728546875,0,0.0,0.273,52.84,0
Wed Sep 16 22:12:32 2020,6.207,42.197,17.401,7421.44,96.727136718,0,0.0,0.246,53.83,0
Wed Sep 16 22:12:39 2020,6.213,42.361,18.272,7424.0,96.727269531,0,0.0,0.477,48.46,0
Wed Sep 16 22:12:46 2020,6.206,42.419,17.26,7416.32,96.727511718,0,0.0,0.32,49.67,0
Wed Sep 16 22:12:53 2020,6.208,42.437,16.539,7413.76,96.725125,0,0.0,0.362,49.45,0
Wed Sep 16 22:13:00 2020,6.211,42.338,16.131,7406.08,96.727003906,0,0.0,0.269,52.1,0
Wed Sep 16 22:13:08 2020,6.209,42.321,16.783,7418.88,96.724625,0,0.0,0.319,50.55,0
Wed Sep 16 22:13:15 2020,6.209,42.293,17.315,7416.32,96.722125,0,0.0,0.205,54.33,0
Wed Sep 16 22:13:22 2020,6.209,42.411,17.738,7408.64,96.725566406,0,0.0,0.308,51.38,0
Wed Sep 16 22:13:29 2020,6.208,42.494,19.934,7408.64,96.724488281,0,0.0,0.216,53.45,0
Wed Sep 16 22:13:36 2020,6.21,42.567,23.161,7418.88,96.7318125,0,0.0,0.164,56.0,0
Wed Sep 16 22:13:43 2020,6.21,42.51,24.145,7413.76,96.728066406,0,0.0,0.298,51.84,0
Wed Sep 16 22:13:50 2020,6.206,42.547,20.964,7411.2,96.728980468,0,0.0,0.336,50.13,0
Wed Sep 16 22:13:57 2020,6.206,42.6,20.04,7408.64,96.7280625,0,0.0,0.186,55.52,0
Wed Sep 16 22:14:04 2020,6.208,42.658,21.675,7413.76,96.729214843,0,0.0,0.158,56.56,0
Wed Sep 16 22:14:11 2020,6.209,42.776,21.365,7431.68,96.729648437,0,0.0,0.215,54.88,0
Wed Sep 16 22:14:18 2020,6.206,42.885,17.802,7436.8,96.727902343,0,0.0,0.412,49.18,0
Wed Sep 16 22:14:25 2020,6.209,42.958,18.005,7436.8,96.729519531,0,0.0,0.325,50.32,0
Wed Sep 16 22:14:32 2020,6.208,42.975,17.582,7441.92,96.733015625,0,0.0,0.337,49.32,0
Wed Sep 16 22:14:39 2020,6.209,43.109,18.066,7439.36,96.728742187,0,0.0,0.435,46.79,0
Wed Sep 16 22:14:46 2020,6.208,43.091,17.594,7447.04,96.730351562,0,0.0,0.474,47.01,0
Wed Sep 16 22:14:53 2020,6.207,43.159,18.405,7454.72,96.730066406,0,0.0,0.384,47.63,0
Wed Sep 16 22:15:00 2020,6.209,43.157,18.901,7472.64,96.728796875,0,0.0,0.318,49.63,0
Wed Sep 16 22:15:07 2020,6.207,43.24,19.021,7457.28,96.726964843,0,0.0,0.237,52.37,0
Wed Sep 16 22:15:14 2020,6.208,43.288,18.263,7447.04,96.725089843,0,0.0,0.163,55.32,0
Wed Sep 16 22:15:21 2020,6.209,43.285,20.318,7457.28,96.725648437,0,0.0,0.239,53.51,0
Wed Sep 16 22:15:28 2020,6.209,43.373,20.796,7462.4,96.723128906,0,0.0,0.261,52.32,0
Wed Sep 16 22:15:35 2020,6.207,43.366,23.593,7475.2,96.724199218,0,0.0,0.259,52.36,0
Wed Sep 16 22:15:42 2020,6.206,43.288,21.464,7467.52,96.720273437,0,0.0,0.399,46.99,0
Wed Sep 16 22:15:49 2020,6.209,43.038,20.397,7470.08,96.727585937,0,0.0,0.305,49.53,0
Wed Sep 16 22:15:56 2020,6.21,42.975,21.824,7480.32,96.7251875,0,0.0,0.179,55.06,0
Wed Sep 16 22:16:03 2020,6.207,43.023,20.077,7495.68,96.723773437,0,0.0,0.194,53.86,0
Wed Sep 16 22:16:10 2020,6.207,43.111,18.394,7498.24,96.722046875,0,0.0,0.158,56.01,0
Wed Sep 16 22:16:18 2020,6.208,43.084,17.639,7495.68,96.723007812,0,0.0,0.177,55.54,0
Wed Sep 16 22:16:25 2020,6.207,43.036,19.682,7490.56,96.722402343,0,0.0,0.148,56.67,0
Wed Sep 16 22:16:32 2020,6.208,43.215,19.262,7493.12,96.722660156,0,0.0,0.167,56.29,0
Wed Sep 16 22:16:39 2020,6.205,43.262,19.438,7508.48,96.722609375,0,0.0,0.139,57.12,0
Wed Sep 16 22:16:46 2020,6.206,43.255,18.722,7544.32,96.721101562,0,0.0,0.155,56.91,0
Wed Sep 16 22:16:53 2020,6.208,43.192,18.763,7577.6,96.722003906,0,0.0,0.374,50.33,0
Wed Sep 16 22:17:00 2020,6.205,43.023,17.834,7613.44,96.723402343,0,0.0,0.571,47.03,0
Wed Sep 16 22:17:07 2020,6.205,42.88,17.03,7713.28,96.726925781,0,0.0,0.59,46.46,0
Wed Sep 16 22:17:14 2020,6.208,42.726,19.467,7680.0,96.727453125,0,0.0,0.323,49.96,0
Wed Sep 16 22:17:21 2020,6.209,42.678,18.275,7592.96,96.723277343,0,0.0,0.747,48.22,0
