EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 01:50:35 2020,6.92,31.404,32.719,15600.64,95.815667968,0.0
Wed Jun 24 01:50:42 2020,6.92,31.437,32.354,15539.2,95.813359375,0.0
Wed Jun 24 01:50:49 2020,6.92,31.525,33.445,15554.56,95.813007812,0.0
Wed Jun 24 01:50:56 2020,6.921,31.517,34.545,15539.2,95.816441406,0.0
Wed Jun 24 01:51:03 2020,6.921,31.59,36.68,15528.96,95.816101562,0.0
Wed Jun 24 01:51:10 2020,6.92,31.638,33.352,15554.56,95.816398437,0.0
Wed Jun 24 01:51:17 2020,6.92,31.736,32.319,15421.44,95.817011718,0.0
Wed Jun 24 01:51:24 2020,6.92,31.714,36.087,15436.8,95.818851562,0.0
Wed Jun 24 01:51:31 2020,6.92,31.736,32.179,15390.72,95.811703125,0.0
Wed Jun 24 01:51:38 2020,6.92,31.739,30.822,15395.84,95.811191406,0.0
Wed Jun 24 01:51:45 2020,6.92,31.696,30.192,15426.56,95.812285156,0.0
Wed Jun 24 01:51:51 2020,6.92,31.749,31.579,15431.68,95.812757812,0.0
Wed Jun 24 01:51:58 2020,6.92,31.701,36.311,15354.88,95.817207031,0.0
Wed Jun 24 01:52:05 2020,6.92,31.845,37.231,15390.72,95.81653125,0.0
Wed Jun 24 01:52:12 2020,6.92,31.817,38.105,15380.48,95.818890625,0.0
Wed Jun 24 01:52:19 2020,6.92,31.829,36.575,15262.72,95.816761718,0.0
Wed Jun 24 01:52:26 2020,6.92,31.812,35.85,15293.44,95.81346875,0.0
Wed Jun 24 01:52:33 2020,6.92,31.84,32.241,15247.36,95.813632812,0.0
Wed Jun 24 01:52:40 2020,6.92,31.837,32.075,15272.96,95.814367187,0.0
Wed Jun 24 01:52:47 2020,6.92,31.804,33.224,15298.56,95.816171875,0.0
Wed Jun 24 01:52:54 2020,6.92,31.817,34.938,15283.2,95.812476562,0.0
Wed Jun 24 01:53:01 2020,6.92,31.814,35.266,15329.28,95.812382812,0.0
Wed Jun 24 01:53:08 2020,6.92,31.792,33.943,15390.72,95.814855468,0.0
Wed Jun 24 01:53:15 2020,6.92,31.769,35.281,15247.36,95.818925781,0.0
Wed Jun 24 01:53:21 2020,6.92,31.897,35.795,15278.08,95.818183593,0.0
Wed Jun 24 01:53:28 2020,6.92,31.829,33.737,15262.72,95.811429687,0.0
Wed Jun 24 01:53:35 2020,6.919,31.787,34.492,15150.08,95.816246093,0.0
Wed Jun 24 01:53:42 2020,6.92,31.819,34.344,15221.76,95.818226562,0.0
Wed Jun 24 01:53:49 2020,6.92,31.792,34.12,15242.24,95.814074218,0.0
Wed Jun 24 01:53:56 2020,6.919,31.819,36.026,15687.68,95.821632812,0.0
Wed Jun 24 01:54:03 2020,6.92,31.872,34.73,15616.0,95.817074218,0.0
Wed Jun 24 01:54:10 2020,6.92,31.754,36.288,15452.16,95.8128125,0.0
Wed Jun 24 01:54:17 2020,6.92,31.696,35.957,15452.16,95.811625,0.0
Wed Jun 24 01:54:24 2020,6.92,31.638,36.66,15575.04,95.817011718,0.0
Wed Jun 24 01:54:31 2020,6.919,31.621,36.412,15626.24,95.817640625,0.0
Wed Jun 24 01:54:38 2020,6.92,31.522,35.406,15452.16,95.815472656,0.0
Wed Jun 24 01:54:44 2020,6.92,31.51,38.801,15441.92,95.816519531,0.0
Wed Jun 24 01:54:51 2020,6.92,31.361,36.196,15493.12,95.816707031,0.0
Wed Jun 24 01:54:58 2020,6.92,31.313,36.668,15447.04,95.817378906,0.0
Wed Jun 24 01:55:05 2020,6.92,31.281,38.793,15380.48,95.817828125,0.0
Wed Jun 24 01:55:12 2020,6.92,31.288,37.19,15482.88,95.816652343,0.0
Wed Jun 24 01:55:19 2020,6.92,31.245,36.874,15416.32,95.814867187,0.0
Wed Jun 24 01:55:26 2020,6.92,31.308,36.558,15308.8,95.821183593,0.0
Wed Jun 24 01:55:33 2020,6.92,31.346,38.284,15534.08,95.816449218,0.0
Wed Jun 24 01:55:40 2020,6.92,31.308,36.775,15728.64,95.818433593,0.0
Wed Jun 24 01:55:47 2020,6.919,31.336,35.424,15447.04,95.814316406,0.0
Wed Jun 24 01:55:54 2020,6.92,31.359,38.398,15385.6,95.8113125,0.0
Wed Jun 24 01:56:01 2020,6.93,31.381,32.971,15313.92,95.814988281,0.0
Wed Jun 24 01:56:08 2020,6.921,31.364,33.76,15385.6,95.811671875,0.0
Wed Jun 24 01:56:14 2020,6.92,31.396,31.292,15395.84,95.817457031,0.0
Wed Jun 24 01:56:21 2020,6.919,31.434,32.71,15472.64,95.811660156,0.0
Wed Jun 24 01:56:28 2020,6.92,31.351,33.654,15498.24,95.816097656,0.0
Wed Jun 24 01:56:35 2020,6.92,31.419,33.583,15482.88,95.816480468,0.0
Wed Jun 24 01:56:42 2020,6.92,31.442,35.455,15339.52,95.81490625,0.0
Wed Jun 24 01:56:49 2020,6.92,31.399,33.5,15431.68,95.81159375,0.0
Wed Jun 24 01:56:56 2020,6.921,31.321,31.799,15416.32,95.81415625,0.0
Wed Jun 24 01:57:03 2020,6.921,31.394,31.95,15380.48,95.815191406,0.0
Wed Jun 24 01:57:10 2020,6.92,31.427,30.401,15503.36,95.812054687,0.0
Wed Jun 24 01:57:17 2020,6.92,31.429,32.511,15498.24,95.812222656,0.0
Wed Jun 24 01:57:24 2020,6.92,31.427,33.755,15477.76,95.809574218,0.0
Wed Jun 24 01:57:31 2020,6.92,31.449,32.637,15380.48,95.811855468,0.0
Wed Jun 24 01:57:38 2020,6.92,31.502,31.182,15447.04,95.811140625,0.0
Wed Jun 24 01:57:44 2020,6.92,31.58,30.796,15493.12,95.810808593,0.0
Wed Jun 24 01:57:51 2020,6.92,31.608,31.002,15452.16,95.809199218,0.0
Wed Jun 24 01:57:58 2020,6.92,31.686,30.119,15482.88,95.80690625,0.0
Wed Jun 24 01:58:05 2020,6.92,31.714,32.434,15590.4,95.809902343,0.0
Wed Jun 24 01:58:12 2020,6.92,31.822,35.163,15662.08,95.815140625,0.0
Wed Jun 24 01:58:19 2020,6.92,31.804,35.513,15784.96,95.817203125,0.0
Wed Jun 24 01:58:26 2020,6.92,31.842,33.787,15846.4,95.805839843,0.0
Wed Jun 24 01:58:33 2020,6.922,31.799,35.253,16163.84,95.809882812,0.0
Wed Jun 24 01:58:40 2020,6.919,31.696,34.327,16122.88,95.81078125,0.0
Wed Jun 24 01:58:47 2020,6.92,31.724,33.847,16076.8,95.811019531,0.0
Wed Jun 24 01:58:54 2020,6.919,31.671,35.777,15897.6,95.815503906,0.0
Wed Jun 24 01:59:01 2020,6.919,31.709,32.568,15677.44,95.816585937,0.0
Wed Jun 24 01:59:07 2020,6.92,31.772,34.193,16240.64,95.816625,0.0
Wed Jun 24 01:59:14 2020,6.921,31.744,35.833,15738.88,95.8140625,0.0
Wed Jun 24 01:59:21 2020,6.919,31.767,35.658,15994.88,95.819144531,0.0
Wed Jun 24 01:59:28 2020,6.92,31.819,37.85,16194.56,95.820753906,0.0
Wed Jun 24 01:59:35 2020,6.919,31.847,36.674,16271.36,95.815621093,0.0
Wed Jun 24 01:59:42 2020,6.921,31.9,35.128,16158.72,95.818433593,0.0
Wed Jun 24 01:59:49 2020,6.919,31.933,37.162,16424.96,95.818769531,0.0
Wed Jun 24 01:59:56 2020,6.92,31.865,32.672,16066.56,95.810148437,0.0
Wed Jun 24 02:00:03 2020,6.92,31.872,35.194,16307.2,95.814171875,0.0
Wed Jun 24 02:00:10 2020,6.92,31.85,35.345,16168.96,95.808546875,0.0
Wed Jun 24 02:00:17 2020,6.92,31.756,35.545,16000.0,95.809207031,0.0
Wed Jun 24 02:00:24 2020,6.92,31.583,37.088,15964.16,95.809554687,0.0
Wed Jun 24 02:00:31 2020,6.92,31.474,35.823,16158.72,95.811515625,0.0
Wed Jun 24 02:00:37 2020,6.92,31.417,37.106,16368.64,95.815195312,0.0
Wed Jun 24 02:00:44 2020,6.92,31.364,35.212,16025.6,95.815832031,0.0
Wed Jun 24 02:00:51 2020,6.92,31.351,36.157,16184.32,95.819308593,0.0
Wed Jun 24 02:00:58 2020,6.92,31.414,36.668,16066.56,95.819109375,0.0
Wed Jun 24 02:01:05 2020,6.92,31.507,38.699,16046.08,95.815394531,0.0
Wed Jun 24 02:01:12 2020,6.92,31.585,34.193,15923.2,95.811460937,0.0
Wed Jun 24 02:01:19 2020,6.92,31.608,35.168,16179.2,95.813558593,0.0
Wed Jun 24 02:01:26 2020,6.919,31.711,34.196,16035.84,95.8134375,0.0
Wed Jun 24 02:01:33 2020,6.92,31.769,36.654,16158.72,95.81734375,0.0
Wed Jun 24 02:01:40 2020,6.92,31.787,39.146,16307.2,95.817542968,0.0
Wed Jun 24 02:01:47 2020,6.921,31.829,38.851,16235.52,95.818441406,0.0
Wed Jun 24 02:01:54 2020,6.919,31.902,40.385,16179.2,95.82121875,0.0
Wed Jun 24 02:02:00 2020,6.92,31.935,39.706,16184.32,95.820367187,0.0
Wed Jun 24 02:02:07 2020,6.919,32.013,37.858,16066.56,95.819316406,0.0
Wed Jun 24 02:02:14 2020,6.92,32.066,36.328,16399.36,95.821578125,0.0
Wed Jun 24 02:02:21 2020,6.92,32.149,40.089,16399.36,95.815449218,0.0
Wed Jun 24 02:02:28 2020,6.92,32.232,36.804,16261.12,95.816210937,0.0
Wed Jun 24 02:02:35 2020,6.92,32.154,38.301,16378.88,95.816480468,0.0
Wed Jun 24 02:02:42 2020,6.954,32.313,40.795,16179.2,95.811683593,0.0
Wed Jun 24 02:02:49 2020,6.918,32.275,34.962,16051.2,95.812867187,0.0
Wed Jun 24 02:02:56 2020,6.92,32.293,35.778,16097.28,95.821398437,0.0
Wed Jun 24 02:03:03 2020,6.92,32.25,33.836,16235.52,95.809101562,0.0
Wed Jun 24 02:03:10 2020,6.928,32.197,33.746,16168.96,95.816238281,0.0
Wed Jun 24 02:03:17 2020,6.92,32.159,35.392,16153.6,95.82071875,0.0
Wed Jun 24 02:03:24 2020,6.92,32.036,34.683,16184.32,95.821378906,0.0
Wed Jun 24 02:03:30 2020,6.92,31.963,36.293,16271.36,95.820855468,0.0
Wed Jun 24 02:03:37 2020,6.92,31.955,37.014,16215.04,95.81853125,0.0
Wed Jun 24 02:03:44 2020,6.921,31.892,35.832,16215.04,95.815945312,0.0
Wed Jun 24 02:03:51 2020,6.92,31.829,35.302,16163.84,95.819480468,0.0
Wed Jun 24 02:03:58 2020,6.92,31.711,38.401,16051.2,95.821988281,0.0
Wed Jun 24 02:04:05 2020,6.92,31.809,37.686,16179.2,95.81525,0.0
Wed Jun 24 02:04:12 2020,6.92,31.822,39.161,16250.88,95.818832031,0.0
Wed Jun 24 02:04:19 2020,6.92,31.744,37.509,16046.08,95.815253906,0.0
Wed Jun 24 02:04:26 2020,6.92,31.837,34.999,16015.36,95.816972656,0.0
Wed Jun 24 02:04:33 2020,6.921,31.799,35.659,16189.44,95.819289062,0.0
Wed Jun 24 02:04:40 2020,6.922,31.817,35.722,16225.28,95.813058593,0.0
Wed Jun 24 02:04:47 2020,6.919,31.799,35.174,16296.96,95.822820312,0.0
Wed Jun 24 02:04:54 2020,6.92,31.802,34.477,16163.84,95.814152343,0.0
Wed Jun 24 02:05:00 2020,6.919,31.729,35.791,16066.56,95.815082031,0.0
Wed Jun 24 02:05:07 2020,6.919,31.656,37.614,16138.24,95.815089843,0.0
Wed Jun 24 02:05:14 2020,6.921,31.719,37.704,16266.24,95.815453125,0.0
Wed Jun 24 02:05:21 2020,6.919,31.731,39.204,16291.84,95.816121093,0.0
Wed Jun 24 02:05:28 2020,6.92,31.688,36.965,16225.28,95.817023437,0.0
Wed Jun 24 02:05:35 2020,6.92,31.651,39.494,16199.68,95.81828125,0.0
Wed Jun 24 02:05:42 2020,6.922,31.583,39.443,16358.4,95.815609375,0.0
Wed Jun 24 02:05:49 2020,6.92,31.52,38.563,16112.64,95.820015625,0.0
Wed Jun 24 02:05:56 2020,6.92,31.542,39.291,16327.68,95.8159375,0.0
Wed Jun 24 02:06:03 2020,6.92,31.56,36.167,16199.68,95.815359375,0.0
Wed Jun 24 02:06:10 2020,6.92,31.563,33.752,16322.56,95.810464843,0.0
Wed Jun 24 02:06:17 2020,6.92,31.535,36.372,16266.24,95.814875,0.0
Wed Jun 24 02:06:23 2020,6.92,31.497,38.784,16174.08,95.815871093,0.0
Wed Jun 24 02:06:30 2020,6.92,31.535,37.507,16179.2,95.817144531,0.0
Wed Jun 24 02:06:37 2020,6.919,31.477,38.055,16230.4,95.819070312,0.0
Wed Jun 24 02:06:44 2020,6.918,31.54,36.177,16337.92,95.814335937,0.0
Wed Jun 24 02:06:51 2020,6.919,31.482,35.33,16102.4,95.816496093,0.0
Wed Jun 24 02:06:58 2020,6.92,31.495,34.648,16266.24,95.814957031,0.0
Wed Jun 24 02:07:05 2020,6.92,31.492,36.303,16384.0,95.816589843,0.0
Wed Jun 24 02:07:12 2020,6.92,31.55,37.559,16143.36,95.820355468,0.0
Wed Jun 24 02:07:19 2020,6.92,31.512,34.417,16440.32,95.814464843,0.0
Wed Jun 24 02:07:26 2020,6.92,31.469,35.572,16225.28,95.817332031,0.0
Wed Jun 24 02:07:33 2020,6.92,31.467,36.245,16153.6,95.819734375,0.0
Wed Jun 24 02:07:40 2020,6.92,31.399,37.263,16389.12,95.817105468,0.0
Wed Jun 24 02:07:47 2020,6.955,31.467,36.663,16230.4,95.816773437,0.0
Wed Jun 24 02:07:53 2020,6.92,31.5,37.068,16199.68,95.816445312,0.0
Wed Jun 24 02:08:00 2020,6.92,31.482,35.159,16209.92,95.818535156,0.0
Wed Jun 24 02:08:07 2020,6.921,31.48,37.385,16235.52,95.815289062,0.0
Wed Jun 24 02:08:14 2020,6.92,31.588,35.583,16353.28,95.814191406,0.0
Wed Jun 24 02:08:21 2020,6.92,31.595,35.646,16465.92,95.813898437,0.0
Wed Jun 24 02:08:28 2020,6.921,31.553,37.667,15841.28,95.814261718,0.0
Wed Jun 24 02:08:35 2020,6.92,31.449,37.611,16081.92,95.812472656,0.0
Wed Jun 24 02:08:42 2020,6.921,31.452,37.31,16266.24,95.812125,0.0
Wed Jun 24 02:08:49 2020,6.92,31.449,38.45,16148.48,95.81059375,0.0
Wed Jun 24 02:08:56 2020,6.92,31.437,37.918,15692.8,95.809554687,0.0
Wed Jun 24 02:09:03 2020,6.92,31.359,38.059,15600.64,95.807585937,0.0
Wed Jun 24 02:09:10 2020,6.92,31.361,39.117,15744.0,95.810328125,0.0
Wed Jun 24 02:09:17 2020,6.93,31.349,38.935,15380.48,95.809636718,0.0
Wed Jun 24 02:09:23 2020,6.92,31.391,36.676,15534.08,95.816933593,0.0
Wed Jun 24 02:09:30 2020,6.92,31.273,37.672,16184.32,95.819507812,0.0
Wed Jun 24 02:09:37 2020,6.919,31.286,36.999,16291.84,95.825695312,0.0
Wed Jun 24 02:09:44 2020,6.921,31.359,37.516,15892.48,95.814671875,0.0
Wed Jun 24 02:09:51 2020,6.92,31.472,36.273,16061.44,95.81740625,0.0
Wed Jun 24 02:09:58 2020,6.92,31.535,35.53,16030.72,95.817515625,0.0
Wed Jun 24 02:10:05 2020,6.92,31.568,32.928,16168.96,95.817457031,0.0
Wed Jun 24 02:10:12 2020,6.92,31.681,34.205,16209.92,95.815433593,0.0
Wed Jun 24 02:10:19 2020,6.926,31.699,33.807,16030.72,95.814378906,0.0
Wed Jun 24 02:10:26 2020,6.92,31.676,32.929,16332.8,95.815632812,0.0
Wed Jun 24 02:10:33 2020,6.92,31.683,31.488,16517.12,95.817535156,0.0
Wed Jun 24 02:10:40 2020,6.92,31.681,35.435,16435.2,95.815390625,0.0
Wed Jun 24 02:10:46 2020,6.92,31.688,32.0,16194.56,95.816480468,0.0
Wed Jun 24 02:10:53 2020,6.92,31.762,30.497,16199.68,95.817761718,0.0
Wed Jun 24 02:11:00 2020,6.92,31.794,34.414,16491.52,95.81671875,0.0
Wed Jun 24 02:11:07 2020,6.92,31.867,35.243,16399.36,95.822679687,0.0
Wed Jun 24 02:11:14 2020,6.92,31.85,34.725,16071.68,95.8215625,0.0
Wed Jun 24 02:11:21 2020,6.919,31.862,32.905,16235.52,95.814421875,0.0
Wed Jun 24 02:11:28 2020,6.92,31.865,33.285,15897.6,95.816347656,0.0
Wed Jun 24 02:11:35 2020,6.92,31.857,36.054,16097.28,95.818261718,0.0
Wed Jun 24 02:11:42 2020,6.92,31.829,35.736,16040.96,95.815789062,0.0
Wed Jun 24 02:11:49 2020,6.922,31.913,36.363,15994.88,95.823386718,0.0
Wed Jun 24 02:11:56 2020,6.92,31.865,37.469,15764.48,95.8218125,0.0
Wed Jun 24 02:12:03 2020,6.92,31.958,35.581,15831.04,95.821363281,0.0
Wed Jun 24 02:12:10 2020,6.92,31.96,34.332,15482.88,95.821160156,0.0
Wed Jun 24 02:12:16 2020,6.921,31.953,33.857,15774.72,95.82084375,0.0
Wed Jun 24 02:12:23 2020,6.919,31.845,32.986,15411.2,95.818820312,0.0
Wed Jun 24 02:12:30 2020,6.921,31.882,36.613,15498.24,95.820507812,0.0
Wed Jun 24 02:12:37 2020,6.921,31.845,34.237,15636.48,95.822273437,0.0
Wed Jun 24 02:12:44 2020,6.92,31.872,33.244,15590.4,95.821519531,0.0
Wed Jun 24 02:12:51 2020,6.959,31.85,35.412,15820.8,95.819101562,0.0
Wed Jun 24 02:12:58 2020,6.92,31.877,36.875,15677.44,95.821511718,0.0
Wed Jun 24 02:13:05 2020,6.92,31.895,38.87,15692.8,95.821539062,0.0
Wed Jun 24 02:13:12 2020,6.92,31.902,37.882,15651.84,95.821863281,0.0
Wed Jun 24 02:13:19 2020,6.92,31.976,37.448,15447.04,95.821125,0.0
Wed Jun 24 02:13:26 2020,6.92,31.983,38.136,15380.48,95.821351562,0.0
Wed Jun 24 02:13:33 2020,6.92,31.97,37.194,15232.0,95.817027343,0.0
Wed Jun 24 02:13:40 2020,6.92,31.892,36.848,15528.96,95.818855468,0.0
Wed Jun 24 02:13:46 2020,6.92,31.895,34.759,15662.08,95.820335937,0.0
Wed Jun 24 02:13:53 2020,6.921,31.887,35.578,15636.48,95.819027343,0.0
Wed Jun 24 02:14:00 2020,6.92,31.925,35.629,15636.48,95.819132812,0.0
Wed Jun 24 02:14:07 2020,6.92,31.908,38.069,15646.72,95.819164062,0.0
Wed Jun 24 02:14:14 2020,6.92,31.89,38.296,15667.2,95.818707031,0.0
Wed Jun 24 02:14:21 2020,6.92,31.948,38.059,15590.4,95.817085937,0.0
Wed Jun 24 02:14:28 2020,6.92,31.91,34.265,15672.32,95.818910156,0.0
Wed Jun 24 02:14:35 2020,6.92,31.963,32.929,15718.4,95.810226562,0.0
Wed Jun 24 02:14:42 2020,6.92,32.016,39.291,15621.12,95.812246093,0.0
Wed Jun 24 02:14:49 2020,6.92,32.104,38.175,15631.36,95.812171875,0.0
Wed Jun 24 02:14:56 2020,6.92,32.041,39.004,15626.24,95.81165625,0.0
Wed Jun 24 02:15:03 2020,6.92,32.013,38.13,15498.24,95.811410156,0.0
Wed Jun 24 02:15:09 2020,6.92,32.026,36.651,15313.92,95.810464843,0.0
Wed Jun 24 02:15:16 2020,6.92,31.913,38.572,15375.36,95.811644531,0.0
Wed Jun 24 02:15:23 2020,6.92,32.021,38.195,15196.16,95.811808593,0.0
Wed Jun 24 02:15:30 2020,6.92,32.003,36.186,15436.8,95.810304687,0.0
Wed Jun 24 02:15:37 2020,6.92,32.011,32.965,15257.6,95.810550781,0.0
Wed Jun 24 02:15:44 2020,6.92,32.003,36.839,15431.68,95.81025,0.0
Wed Jun 24 02:15:51 2020,6.92,32.041,35.763,15452.16,95.810242187,0.0
Wed Jun 24 02:15:58 2020,6.92,32.059,36.219,15482.88,95.809382812,0.0
Wed Jun 24 02:16:05 2020,6.92,32.096,34.365,15605.76,95.8096875,0.0
Wed Jun 24 02:16:12 2020,6.92,32.074,30.775,15493.12,95.809457031,0.0
Wed Jun 24 02:16:19 2020,6.92,32.182,32.101,15380.48,95.80890625,0.0
Wed Jun 24 02:16:26 2020,6.924,32.295,32.524,15390.72,95.808835937,0.0
Wed Jun 24 02:16:33 2020,6.92,32.182,30.651,15319.04,95.808425781,0.0
Wed Jun 24 02:16:39 2020,6.92,32.2,31.712,15513.6,95.809855468,0.0
Wed Jun 24 02:16:46 2020,6.919,32.293,33.27,15452.16,95.808644531,0.0
Wed Jun 24 02:16:53 2020,6.92,32.325,30.711,15360.0,95.807246093,0.0
Wed Jun 24 02:17:00 2020,6.92,32.439,29.559,15467.52,95.803953125,0.0
Wed Jun 24 02:17:07 2020,6.943,32.441,28.48,15313.92,95.807125,0.0
Wed Jun 24 02:17:14 2020,6.92,32.504,29.217,15400.96,95.802230468,0.0
Wed Jun 24 02:17:21 2020,6.92,32.512,29.579,15257.6,95.804835937,0.0
Wed Jun 24 02:17:28 2020,6.92,32.555,28.799,15370.24,95.806246093,0.0
Wed Jun 24 02:17:35 2020,6.922,32.537,28.868,15298.56,95.805355468,0.0
Wed Jun 24 02:17:42 2020,6.92,32.64,30.484,15242.24,95.808027343,0.0
Wed Jun 24 02:17:49 2020,6.92,32.658,32.633,14935.04,95.803972656,0.0
Wed Jun 24 02:17:56 2020,6.922,32.701,34.643,14853.12,95.808535156,0.0
Wed Jun 24 02:18:03 2020,6.919,32.723,36.369,14822.4,95.809335937,0.0
Wed Jun 24 02:18:09 2020,6.92,32.675,33.255,14812.16,95.803738281,0.0
Wed Jun 24 02:18:16 2020,6.92,32.552,35.041,14853.12,95.808242187,0.0
Wed Jun 24 02:18:23 2020,6.92,32.539,35.72,14981.12,95.808515625,0.0
Wed Jun 24 02:18:30 2020,6.921,32.587,34.803,15063.04,95.810222656,0.0
Wed Jun 24 02:18:37 2020,6.92,32.555,34.271,14883.84,95.807917968,0.0
Wed Jun 24 02:18:44 2020,6.918,32.532,35.304,14960.64,95.806847656,0.0
Wed Jun 24 02:18:51 2020,6.92,32.499,33.026,15032.32,95.80878125,0.0
Wed Jun 24 02:18:58 2020,6.922,32.421,32.005,15093.76,95.80590625,0.0
Wed Jun 24 02:19:05 2020,6.919,32.338,32.669,14924.8,95.804136718,0.0
Wed Jun 24 02:19:12 2020,6.919,32.406,30.882,14873.6,95.802960937,0.0
Wed Jun 24 02:19:19 2020,6.92,32.323,34.75,14935.04,95.808125,0.0
Wed Jun 24 02:19:26 2020,6.92,32.325,35.066,14878.72,95.811886718,0.0
Wed Jun 24 02:19:32 2020,6.92,32.293,36.172,14832.64,95.811589843,0.0
Wed Jun 24 02:19:39 2020,6.92,32.26,39.466,14888.96,95.809367187,0.0
Wed Jun 24 02:19:46 2020,6.92,32.303,33.929,14858.24,95.805894531,0.0
Wed Jun 24 02:19:53 2020,6.92,32.245,33.876,14868.48,95.808171875,0.0
Wed Jun 24 02:20:00 2020,6.92,32.232,34.069,14786.56,95.807933593,0.0
Wed Jun 24 02:20:07 2020,6.92,32.215,35.331,14853.12,95.806121093,0.0
Wed Jun 24 02:20:14 2020,6.92,32.177,36.145,14832.64,95.808621093,0.0
Wed Jun 24 02:20:21 2020,6.92,32.19,38.285,14883.84,95.809429687,0.0
Wed Jun 24 02:20:28 2020,6.92,32.252,37.603,14807.04,95.811289062,0.0
Wed Jun 24 02:20:35 2020,6.92,32.144,37.342,14863.36,95.805984375,0.0
Wed Jun 24 02:20:42 2020,6.92,32.091,36.437,14853.12,95.812519531,0.0
Wed Jun 24 02:20:49 2020,6.92,32.069,34.568,14832.64,95.807238281,0.0
Wed Jun 24 02:20:56 2020,6.92,32.142,36.117,14822.4,95.807492187,0.0
Wed Jun 24 02:21:02 2020,6.92,32.195,36.961,15324.16,95.803421875,0.0
Wed Jun 24 02:21:09 2020,6.921,32.202,33.538,14801.92,95.808,0.0
Wed Jun 24 02:21:16 2020,6.919,32.124,37.04,14796.8,95.805191406,0.0
Wed Jun 24 02:21:23 2020,6.92,32.162,34.942,14791.68,95.805988281,0.0
Wed Jun 24 02:21:30 2020,6.92,32.003,37.278,14837.76,95.810535156,0.0
Wed Jun 24 02:21:37 2020,6.92,31.996,35.888,14801.92,95.8094375,0.0
Wed Jun 24 02:21:44 2020,6.92,32.043,35.426,14812.16,95.815886718,0.0
Wed Jun 24 02:21:51 2020,6.92,31.965,34.265,14858.24,95.815601562,0.0
Wed Jun 24 02:21:58 2020,6.919,31.918,37.547,14842.88,95.816023437,0.0
Wed Jun 24 02:22:05 2020,6.92,31.97,34.222,14868.48,95.807246093,0.0
Wed Jun 24 02:22:12 2020,6.92,31.988,36.662,14863.36,95.809742187,0.0
Wed Jun 24 02:22:19 2020,6.92,31.97,36.877,14832.64,95.812972656,0.0
Wed Jun 24 02:22:25 2020,6.921,31.963,36.274,14858.24,95.811378906,0.0
Wed Jun 24 02:22:32 2020,6.92,31.991,33.007,14863.36,95.811234375,0.0
Wed Jun 24 02:22:39 2020,6.92,31.978,33.741,14873.6,95.809875,0.0
Wed Jun 24 02:22:46 2020,6.919,32.026,34.555,14848.0,95.806566406,0.0
Wed Jun 24 02:22:53 2020,6.92,32.028,35.423,14863.36,95.807367187,0.0
Wed Jun 24 02:23:00 2020,6.919,32.011,33.917,14848.0,95.8099375,0.0
Wed Jun 24 02:23:07 2020,6.92,32.074,35.423,14848.0,95.810886718,0.0
Wed Jun 24 02:23:14 2020,6.92,32.111,36.834,14822.4,95.81325,0.0
Wed Jun 24 02:23:21 2020,6.92,32.119,37.019,14812.16,95.808625,0.0
Wed Jun 24 02:23:28 2020,6.929,32.081,38.461,14801.92,95.808558593,0.0
Wed Jun 24 02:23:35 2020,6.92,32.099,35.206,14807.04,95.806863281,0.0
Wed Jun 24 02:23:42 2020,6.92,32.076,37.896,15068.16,95.803804687,0.0
Wed Jun 24 02:23:49 2020,6.92,32.069,34.971,14755.84,95.81228125,0.0
Wed Jun 24 02:23:55 2020,6.92,32.001,36.941,14801.92,95.804003906,0.0
Wed Jun 24 02:24:02 2020,6.92,32.049,34.278,14766.08,95.80525,0.0
Wed Jun 24 02:24:09 2020,6.92,32.011,36.3,14760.96,95.806867187,0.0
Wed Jun 24 02:24:16 2020,6.92,32.023,37.953,14750.72,95.80859375,0.0
Wed Jun 24 02:24:23 2020,6.92,32.001,36.453,14766.08,95.807761718,0.0
Wed Jun 24 02:24:30 2020,6.931,32.023,39.076,14848.0,95.808152343,0.0
Wed Jun 24 02:24:37 2020,6.919,32.061,36.56,14909.44,95.807386718,0.0
Wed Jun 24 02:24:44 2020,6.919,32.033,35.935,14791.68,95.805742187,0.0
Wed Jun 24 02:24:51 2020,6.921,31.95,40.133,14796.8,95.804652343,0.0
Wed Jun 24 02:24:58 2020,6.919,32.013,39.735,14796.8,95.803230468,0.0
Wed Jun 24 02:25:05 2020,6.92,32.026,41.54,14801.92,95.805261718,0.0
Wed Jun 24 02:25:12 2020,6.92,32.008,40.672,14781.44,95.806574218,0.0
Wed Jun 24 02:25:18 2020,6.92,32.011,39.605,14776.32,95.804660156,0.0
Wed Jun 24 02:25:25 2020,6.92,31.933,39.39,14796.8,95.807140625,0.0
Wed Jun 24 02:25:32 2020,6.92,31.96,37.982,14776.32,95.806472656,0.0
Wed Jun 24 02:25:39 2020,6.92,32.018,41.847,14842.88,95.808210937,0.0
Wed Jun 24 02:25:46 2020,6.92,32.016,40.573,14781.44,95.806527343,0.0
Wed Jun 24 02:25:53 2020,6.92,32.109,40.65,14909.44,95.803457031,0.0
Wed Jun 24 02:26:00 2020,6.921,32.177,37.548,14960.64,95.805570312,0.0
Wed Jun 24 02:26:07 2020,6.92,32.169,35.304,14914.56,95.804363281,0.0
