EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 01:24:45 2020,6.92,29.949,41.151,13696.0,95.828273437,1.9989884393063586
Wed Jun 24 01:24:52 2020,6.922,29.921,38.739,13690.88,95.833890625,2.2434267552730423
Wed Jun 24 01:24:59 2020,6.923,29.944,39.503,13660.16,95.828917968,1.7914199046656074
Wed Jun 24 01:25:06 2020,6.922,29.876,38.946,13624.32,95.831011718,1.8223056919965328
Wed Jun 24 01:25:13 2020,6.923,29.939,39.418,13736.96,95.830613281,1.990466560739564
Wed Jun 24 01:25:20 2020,6.922,29.916,37.878,13716.48,95.822945312,1.86058942502167
Wed Jun 24 01:25:27 2020,6.921,29.949,40.806,13767.68,95.826582031,1.416702788614362
Wed Jun 24 01:25:34 2020,6.922,30.042,40.109,13690.88,95.829710937,2.2204565154579603
Wed Jun 24 01:25:40 2020,6.923,30.004,39.515,13603.84,95.827996093,2.1129568106312293
Wed Jun 24 01:25:47 2020,6.922,30.062,41.201,13598.72,95.826910156,2.0596648367523835
Wed Jun 24 01:25:54 2020,6.923,30.095,38.99,13655.04,95.827726562,2.3196591073234147
Wed Jun 24 01:26:01 2020,6.922,29.936,41.4,13562.88,95.824574218,2.197486275642878
Wed Jun 24 01:26:08 2020,6.922,29.914,40.571,13511.68,95.826363281,1.8912164114417798
Wed Jun 24 01:26:15 2020,6.922,30.002,39.022,13399.04,95.833542968,2.2127997688529324
Wed Jun 24 01:26:22 2020,6.923,29.959,38.856,13511.68,95.833128906,2.5416726852520584
Wed Jun 24 01:26:29 2020,6.923,29.931,37.979,13649.92,95.826375,2.197168857431749
Wed Jun 24 01:26:36 2020,6.923,29.908,37.599,13578.24,95.826460937,2.4957388415426838
Wed Jun 24 01:26:43 2020,6.921,29.956,37.881,13440.0,95.8438125,2.764484901025863
Wed Jun 24 01:26:50 2020,6.923,30.044,37.696,13527.04,95.837832031,3.2153690596562186
