EarthPod Sensor Log
Created: Tue Jun 16 23:19:01 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (counts/step)
Tue Jun 16 23:19:03 2020,2.202,34.345,29.515,87.92,96.293757812,1
Tue Jun 16 23:19:08 2020,5.181,34.377,29.257,88.48,96.291402343,23
Tue Jun 16 23:19:13 2020,4.965,34.38,33.674,92.64,96.289507812,171
Tue Jun 16 23:19:18 2020,4.958,34.418,36.245,93.12,96.292816406,210
Tue Jun 16 23:19:23 2020,4.961,34.511,37.205,92.96,96.298976562,403
Tue Jun 16 23:19:28 2020,4.963,34.367,35.87,92.96,96.293570312,444
Tue Jun 16 23:19:33 2020,4.961,34.355,30.622,94.16,96.293160156,54
Tue Jun 16 23:19:38 2020,4.955,34.377,36.352,94.8,96.293644531,26
Tue Jun 16 23:19:43 2020,4.955,34.194,31.901,208.96,96.28725,5
Tue Jun 16 23:19:48 2020,4.956,34.262,30.563,209.76,96.286976562,0
Tue Jun 16 23:19:52 2020,4.954,34.294,30.705,211.04,96.287039062,0
Tue Jun 16 23:19:57 2020,4.956,34.272,28.878,209.28,96.286359375,0
Tue Jun 16 23:20:02 2020,4.954,34.355,29.179,209.28,96.28653125,0
Tue Jun 16 23:20:07 2020,4.954,34.312,29.788,210.88,96.286316406,0
