EarthPod Sensor Log
Created: Tue Jun 16 23:11:00 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (counts/step)
Tue Jun 16 23:17:10 2020,4.966,34.287,29.376,125.92,96.288226562,0
Tue Jun 16 23:17:15 2020,4.957,34.309,29.347,125.44,96.289664062,0
Tue Jun 16 23:17:20 2020,4.956,34.317,29.565,125.84,96.288339843,0
Tue Jun 16 23:17:25 2020,4.958,34.385,28.785,125.2,96.289585937,0
Tue Jun 16 23:17:30 2020,4.958,34.372,29.052,125.28,96.28775,0
Tue Jun 16 23:17:35 2020,4.957,34.355,28.486,127.12,96.289925781,0
Tue Jun 16 23:17:40 2020,4.957,34.382,30.114,126.96,96.28859375,0
Tue Jun 16 23:17:44 2020,4.958,34.481,28.227,127.12,96.290148437,0
Tue Jun 16 23:17:49 2020,4.958,34.418,29.165,126.96,96.288683593,0
Tue Jun 16 23:17:54 2020,4.958,34.44,29.438,126.8,96.292089843,0
Tue Jun 16 23:17:59 2020,4.958,34.418,28.71,126.96,96.287421875,0
Tue Jun 16 23:18:04 2020,4.959,34.45,29.258,127.28,96.289800781,0
Tue Jun 16 23:18:09 2020,4.958,34.398,29.754,128.16,96.289550781,0
Tue Jun 16 23:18:14 2020,4.957,34.43,28.526,128.32,96.289488281,0
Tue Jun 16 23:18:19 2020,4.958,34.382,28.323,128.24,96.291238281,0
Tue Jun 16 23:18:24 2020,4.956,34.385,29.508,128.48,96.28840625,0
Tue Jun 16 23:18:29 2020,4.957,34.398,28.887,128.24,96.290304687,0
Tue Jun 16 23:18:34 2020,4.96,34.44,29.194,128.64,96.292734375,0
Tue Jun 16 23:18:39 2020,4.96,34.372,28.939,129.12,96.289566406,0
