EarthPod Sensor Log
Created: Wed May 20 01:33:06 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa)
Wed May 20 02:07:42 2020,5.899,42.545,18.698,4.79,96.459855468
Wed May 20 02:07:48 2020,5.896,42.542,19.27,4.81,96.458296875
Wed May 20 02:07:54 2020,5.898,42.605,18.334,4.81,96.460496093
Wed May 20 02:08:00 2020,5.898,42.618,19.227,4.81,96.4589375
Wed May 20 02:08:06 2020,5.911,42.615,19.03,4.81,96.455828125
Wed May 20 02:08:11 2020,5.905,42.663,18.196,4.79,96.457859375
Wed May 20 02:08:17 2020,5.905,42.635,17.938,4.77,96.458636718
Wed May 20 02:08:23 2020,5.898,42.648,18.687,4.74,96.452652343
Wed May 20 02:08:29 2020,5.907,42.671,18.338,4.75,96.453859375
Wed May 20 02:08:35 2020,5.93,42.643,18.199,4.79,96.452390625
Wed May 20 02:08:41 2020,5.899,42.686,17.736,4.69,96.456609375
Wed May 20 02:08:47 2020,5.899,42.673,18.382,4.75,96.452171875
Wed May 20 02:08:53 2020,5.899,42.676,18.994,4.72,96.454679687
Wed May 20 02:08:59 2020,5.898,42.668,17.604,4.71,96.4581875
Wed May 20 02:09:05 2020,5.898,42.706,18.27,4.69,96.455871093
Wed May 20 02:09:10 2020,5.904,42.653,17.973,4.72,96.456664062
Wed May 20 02:09:16 2020,5.899,42.661,18.515,4.7,96.456421875
Wed May 20 02:09:22 2020,5.897,42.698,18.055,4.72,96.453980468
Wed May 20 02:09:28 2020,5.903,42.716,18.054,4.67,96.454195312
Wed May 20 02:09:34 2020,5.904,42.714,18.495,4.66,96.4569375
Wed May 20 02:09:40 2020,5.903,42.721,18.417,4.69,96.450179687
Wed May 20 02:09:46 2020,5.898,42.764,18.229,4.65,96.456535156
Wed May 20 02:09:52 2020,5.899,42.736,18.554,4.65,96.456285156
Wed May 20 02:09:58 2020,5.899,42.754,18.348,4.67,96.453308593
Wed May 20 02:10:04 2020,5.903,42.781,18.164,4.61,96.456433593
Wed May 20 02:10:09 2020,5.899,42.754,18.452,4.66,96.458878906
Wed May 20 02:10:15 2020,5.899,42.776,17.77,4.61,96.460023437
Wed May 20 02:10:21 2020,5.905,42.789,18.376,4.59,96.455964843
Wed May 20 02:10:27 2020,5.903,42.832,18.624,4.63,96.458351562
Wed May 20 02:10:33 2020,5.904,42.779,17.955,4.6,96.459511718
Wed May 20 02:10:39 2020,5.904,42.847,17.816,4.6,96.454945312
Wed May 20 02:10:45 2020,5.898,42.854,18.092,4.62,96.457164062
Wed May 20 02:10:51 2020,5.898,42.867,18.115,4.56,96.456671875
Wed May 20 02:10:57 2020,5.899,42.844,18.977,4.53,96.457316406
Wed May 20 02:11:03 2020,5.899,42.832,18.618,4.52,96.455308593
Wed May 20 02:11:08 2020,5.899,42.849,17.445,4.61,96.459730468
Wed May 20 02:11:14 2020,5.899,42.842,18.942,4.51,96.455625
Wed May 20 02:11:20 2020,5.905,42.865,18.351,4.52,96.454730468
Wed May 20 02:11:26 2020,5.904,42.907,17.779,4.51,96.457609375
Wed May 20 02:11:32 2020,5.904,42.88,18.525,4.49,96.455527343
Wed May 20 02:11:38 2020,5.903,42.882,18.328,4.48,96.4566875
Wed May 20 02:11:44 2020,5.898,42.91,19.071,4.5,96.455636718
Wed May 20 02:11:50 2020,5.9,42.988,17.852,4.47,96.456261718
Wed May 20 02:11:56 2020,5.9,42.965,18.69,4.44,96.455003906
Wed May 20 02:12:02 2020,5.898,42.978,17.779,4.44,96.4541875
Wed May 20 02:12:07 2020,5.898,42.96,17.747,4.44,96.453816406
Wed May 20 02:12:13 2020,5.904,42.983,18.032,4.41,96.460003906
Wed May 20 02:12:19 2020,5.904,43.011,18.025,4.43,96.458984375
Wed May 20 02:12:25 2020,5.899,43.043,17.318,4.39,96.456695312
Wed May 20 02:12:31 2020,5.906,43.046,17.909,4.4,96.458070312
Wed May 20 02:12:37 2020,5.902,43.038,18.078,4.38,96.458164062
Wed May 20 02:12:43 2020,5.899,43.026,18.544,4.39,96.456757812
Wed May 20 02:12:49 2020,5.9,43.069,17.572,4.36,96.457324218
Wed May 20 02:12:55 2020,5.899,43.086,17.35,4.36,96.453074218
Wed May 20 02:13:01 2020,5.898,43.079,17.858,4.35,96.457234375
Wed May 20 02:13:07 2020,5.898,43.101,19.12,4.33,96.457765625
Wed May 20 02:13:12 2020,5.904,43.114,18.237,4.32,96.457539062
Wed May 20 02:13:18 2020,5.897,43.116,17.555,4.31,96.458425781
